,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
1581,윌로펌프,0.20601966025372193,0.37926566241194737,0.06268058845081656,0.07840433375329321,0.02220652324362356,0.005981342920771283,0.698839686986733,0.02748235151988091,0.009355688676306605,0.004074614168030275,0.004119817944575841,6032.0,2084.0,0.08
1582,디젠,0.8972728054648536,0.0472277464990329,0.02729443032291031,0.008413489607056143,0.00658978793445492,0.013201740171692043,0.837018895740579,0.03878215022992382,0.014020713061063256,0.006340233131103859,0.0064170386975753455,4254.0,107.4,0.21
1583,원봉,0.671240599693938,0.02724983077827669,0.015160050689824452,0.006012940952637375,0.005455862777790361,0.020568037711675775,0.5986665920820845,0.04898698009604843,0.015107762442921219,0.006319610118170633,0.006335330209135813,4157.0,1361.0,0.22
1584,창성,0.21724674651374978,0.03314364535383972,0.01703171281826574,0.004509033636424806,0.0033772347644113448,0.003398351435302264,1.0,1.5515892240572618e-307,5.171066988635152e-308,2.225713665644593e-308,2.2488717058849006e-308,4323.0,21.2,0.38
1585,조광아이엘아이,0.8015907710010719,0.031970790646122994,0.01787108831520515,0.007046791409435081,0.006383113409492967,0.025056488787353517,0.9073759682028443,0.037218821715887265,0.013394978380744783,0.006030093920171922,0.006106704847372647,4274.0,314.6,0.44
1586,화천기계,0.7047493788744273,0.03696298033630075,0.023523853537706647,0.007270692270427954,0.006111464008210576,0.021371651911468077,0.2797263032265142,0.265461735161594,0.044848300917033956,0.013776209339164323,0.013574180392959424,7025.0,1759.1,0.21
1587,미팩토리,0.2003201437882887,0.1389295588278521,0.05326551580978741,0.29899749865077146,0.06075386958074254,0.005918985995215228,1.0,9.750903200365914e-308,3.540399951011174e-308,1.5855977755653163e-308,1.6134138316222725e-308,4172.0,268.5,0.45
1588,비케이브,0.20651524895661505,0.19299099210853154,0.09155304765840296,0.028015474385438974,0.014314592128754803,0.005633856239724905,0.18457032689216094,0.22141053629020008,0.27991932428281174,0.02683941301740635,0.026035111368509455,3865.0,1595.2,0.77
1589,일진베어링,0.050260881235922795,0.023222505137720867,0.01033203316392121,0.016071687728592143,0.8139419113934654,0.0016341465414224147,5.504166066194823e-307,3.1679890967801515e-307,3.8162737877692805e-307,3.4934091123802032e-307,1.0,6032.0,2693.2,0.07
1590,최신물산,0.40144016095978263,0.2019932038025815,0.23993655533585956,0.031488080704386814,0.01836233019337431,0.009270260302589671,0.7125289836216221,0.03597027877495963,0.01274720641377848,0.005604853502344665,0.005705677111534061,5090.0,1713.7,0.19
1591,블리스팩,1.0,1.6600517409707897e-307,8.639839824590005e-308,2.8614363528051287e-308,2.267531593711332e-308,3.8016193948610414e-308,0.4004904426777524,0.0975893595339001,0.022196973493185543,0.008376327194225089,0.008311391000801667,4318.0,136.7,1.27
1592,슈페리어,1.0,6.813856059702173e-308,3.8019203874938917e-308,1.507507555377008e-308,1.3691377346069494e-308,5.054354692513638e-308,0.4925509266733896,0.08260133243520167,0.020825521249697516,0.008114417191101056,0.008057087499277258,4661.0,679.8,0.52
1593,테크엘,0.812491323438216,0.048291060103517885,0.027823044141637436,0.008547401793000281,0.006657713930355173,0.012166608230920537,8.100795058177899e-307,1.0,4.558255960767389e-307,9.899748736982558e-308,9.182189872885676e-308,4207.0,419.8,0.42
1594,모토닉,0.9244045807554747,0.025026402437936884,0.014215881163993506,0.004796162997442525,0.00386928685030353,0.013108396357052845,0.9830183619474351,0.010009158220905092,0.0036437798564273862,0.0016538507330460062,0.0016748492421865037,5983.0,1960.8,0.24
1595,인켈,0.09441951321217555,0.04284957363182906,0.018677170642132535,0.02702929509132527,0.813901439828984,0.0031230075935536586,0.08201023362390193,0.04737643118402486,0.05913822025918096,0.04535197340093546,0.6094333471610381,4140.0,1387.4,0.75
1596,재영솔루텍,0.8455577392729186,0.02987287185401309,0.016692829350724185,0.0065591369171842115,0.005930186361290409,0.02482580313947342,0.7933792419516726,0.029953262711106408,0.010642555926746932,0.004713792475407607,0.004786983033223102,5202.0,952.1,0.14
1597,파카코리아,1.0350064715942552e-306,1.0,1.848134030464592e-307,6.079850951561004e-308,3.896313048870375e-308,2.4935659503932533e-308,0.9185066346409323,0.022471172439970596,0.007914698202693693,0.003525318793440581,0.003565153220831447,5668.0,2194.6,0.28
